id;name;jhi_type;config;remark;cluster_job_id;status;created_by;created_date;last_modified_by;last_modified_date
1;Re-contextualized;JAR;bypassing optical;installation;Argentine Peso;CREATE;open-source turn-key;2019-06-05T03:53:33;Quality;2019-06-04T20:39:32
2;Cambridgeshire hacking;JAR;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;CREATE;even-keeled Saint Helena Pound;2019-06-04T09:52:52;SCSI drive THX;2019-06-04T09:46:43
3;Marketing;JAR;Branding;Home Gloves Latvia;Ports Manager Fish;CREATE;Fish;2019-06-04T21:24:20;program alarm;2019-06-04T22:48:26
4;Benin Berkshire;JAR;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;CREATE;Alaska;2019-06-04T11:45:20;Intelligent Frozen Sausages Villages;2019-06-04T23:29:29
5;PCI back up Factors;JAR;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;CREATE;Ergonomic Concrete Soap Zambian Kwacha;2019-06-04T21:35:36;Open-architected;2019-06-04T23:06:49
6;portal calculating Metal;JAR;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;CREATE;interfaces;2019-06-04T14:04:20;implementation;2019-06-05T02:28:47
7;Specialist generating;JAR;interface;compress lavender Investment Account;backing up;CREATE;Philippine Peso Metal;2019-06-05T03:00:53;Analyst card Licensed Cotton Ball;2019-06-04T19:47:46
8;bypass Ameliorated;JAR;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;CREATE;system Gorgeous Rubber Pants;2019-06-05T02:23:35;Steel leading-edge Small;2019-06-05T03:56:27
9;solution;JAR;online e-business;systems integrate;Web HTTP;CREATE;Optimization Cambridgeshire;2019-06-04T17:15:21;Chilean Peso Unidades de fomento Checking Account;2019-06-04T07:32:51
10;Solutions COM;JAR;North Carolina Granite;Somalia Web revolutionize;invoice teal analyzing;CREATE;Ergonomic Rubber Chicken;2019-06-04T22:07:24;withdrawal;2019-06-04T20:57:04
